,angle,xs,xs_err
176,85.077,0.0048747,0.002243735
177,85.079,0.0042738,0.00221369
178,85.469,0.017777,0.00288885
179,85.48,0.010503,0.0025251500000000003
180,85.894,0.014594,0.0027297
181,86.303,0.024167,0.0032083500000000004
182,86.306,0.021188,0.0030594000000000003
183,87.983,0.02818,0.003409
184,88.401,0.031446,0.0035723000000000005
185,89.241,0.033586,0.0036793
186,90.503,0.033588,0.0036794
187,92.185,0.033592,0.0036796
188,92.609,0.030104,0.0035052
189,92.611,0.026978,0.0033489
190,92.617,0.020736,0.0030368
191,93.034,0.024713,0.00323565
192,93.04,0.01818,0.002909
193,93.884,0.016293,0.00281465
194,94.307,0.014601,0.00273005
195,94.309,0.013375,0.00266875
196,94.314,0.010741,0.00253705
197,94.732,0.012252,0.0026126
198,94.738,0.0092129,0.002460645
199,95.161,0.0082563,0.002412815
200,95.164,0.0072384,0.00236192
201,95.166,0.0066305,0.002331525
202,95.591,0.0055638,0.0022781900000000002
203,95.593,0.004986,0.0022493
204,96.015,0.0046686,0.0022334300000000002
205,96.018,0.004093,0.00220465
206,96.02,0.003668,0.0021834000000000003
207,96.864,0.0032872,0.00216436
208,98.547,0.0032876,0.00216438
209,98.965,0.0036686,0.00218343
210,99.795,0.0060754,0.00230377
211,99.798,0.0053264,0.00226632
212,99.801,0.0046697,0.002233485
213,99.804,0.004094,0.0022047
214,100.21,0.0067796,0.00233898
215,100.21,0.0079044,0.00239522
216,100.63,0.0094205,0.002471025
217,101.04,0.011227,0.00256135
218,101.46,0.012529,0.0026264500000000002
219,101.46,0.014607,0.0027303500000000003
220,102.3,0.016662,0.0028331
221,103.13,0.020299,0.00301495
222,103.97,0.023155,0.00315775
223,105.65,0.02528,0.0032640000000000004
224,107.76,0.025844,0.0032922000000000003
225,109.02,0.0242,0.00321
226,109.44,0.020757,0.00303785
227,109.87,0.018602,0.0029301
228,109.87,0.016308,0.0028154
229,110.71,0.015271,0.00276355
230,111.14,0.013388,0.0026694
231,112.4,0.011739,0.00258695
232,114.51,0.011236,0.0025618
233,116.6,0.01369,0.0026845000000000003
234,117.03,0.012002,0.0026001
235,118.28,0.015278,0.0027639
236,118.7,0.017427,0.00287135
237,119.54,0.019447,0.00297235
238,119.96,0.021701,0.00308505
239,120.8,0.024217,0.0032108500000000003
240,121.64,0.027025,0.00335125
241,123.74,0.03016,0.003508
242,125.42,0.032215,0.0036107500000000002
243,127.52,0.03152,0.003576
244,128.79,0.029515,0.00347575
245,129.63,0.027038,0.0033519
246,130.05,0.024768,0.0032384
247,131.32,0.02269,0.0031345
248,132.16,0.021246,0.0030623000000000004
249,133.42,0.019895,0.00299475
250,133.85,0.017442,0.0028721
251,135.53,0.015633,0.00278165
252,137.64,0.014964,0.0027482
253,138.9,0.016337,0.00281685
254,139.31,0.01823,0.0029115
255,140.15,0.019903,0.0029951500000000002
256,140.57,0.02221,0.0031105000000000004
257,142.25,0.025336,0.0032668000000000003
258,143.09,0.0289,0.003445
259,143.93,0.03225,0.0036125000000000003
260,146.03,0.033701,0.0036850500000000005
261,147.72,0.030204,0.0035102
262,149.4,0.025908,0.0032954000000000004
263,149.83,0.023733,0.00318665
264,150.25,0.020808,0.0030404000000000004
265,151.09,0.019061,0.00295305
266,151.52,0.017082,0.0028541
267,152.78,0.015996,0.0027998
268,153.62,0.01565,0.0027825000000000003
269,155.3,0.015998,0.0027999
270,156.56,0.017853,0.00289265
271,156.98,0.020365,0.00301825
272,157.4,0.022232,0.0031116
273,159.5,0.024273,0.00321365
274,161.18,0.025927,0.00329635
275,161.61,0.022731,0.00313655
276,162.03,0.019929,0.0029964500000000003
277,162.45,0.017093,0.0028546500000000002
278,163.3,0.014987,0.0027493500000000002
279,163.3,0.013139,0.00265695
280,163.31,0.010099,0.00250495
281,163.72,0.011775,0.00258875
282,164.99,0.0090511,0.002452555
283,165.41,0.008663,0.0024331500000000002
284,166.67,0.0098819,0.002494095
285,167.08,0.01499,0.0027495
286,167.08,0.016727,0.00283635
287,167.5,0.019503,0.00297515
288,167.51,0.012578,0.0026289
289,167.51,0.011028,0.0025514
290,167.92,0.022739,0.0031369500000000003
291,168.75,0.025939,0.00329695
292,169.17,0.028945,0.00344725
293,169.17,0.032299,0.0036149500000000005
294,169.58,0.044881,0.00424405
295,169.59,0.038494,0.0039247
296,170.0,0.053489,0.00467445
297,170.84,0.062367,0.005118350000000001
298,171.26,0.072716,0.0056358
299,172.09,0.082946,0.0061473000000000005
300,172.09,0.096708,0.0068354
301,172.51,0.11276,0.007638000000000001
302,173.35,0.1231,0.008155
303,173.76,0.14353,0.0091765
304,173.76,0.16016,0.010008
305,174.18,0.17105,0.010552500000000001
